epoch,train_loss
1,0.6601923438218924
2,0.3589539933090027
3,0.1780781923291775
4,0.08301818742273519
5,0.036707895027043726
6,0.012687743773522716
7,0.004306010561637008
8,0.0016208739746406747
9,0.0007812101432556609
10,0.0005849478578266616
11,0.000524247539578937
12,0.00036418812115488646
13,0.00033779538825911003
14,0.00027806360555517203
15,0.0002337783305987474
16,0.00019828278992253427
17,0.0001757364935586408
18,0.00017738295218105822
19,0.00014148316212623076
20,0.00012081636649292285
