number,value,datetime_start,datetime_complete,duration,params_activation,params_base_channels,params_batch_size,params_dropout,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_residual_blocks,params_weight_decay,state
0,0.4618441971383148,2026-09-22 09:03:39.059777,2026-09-22 09:03:45.269769,0 days 00:00:06.209992,gelu,64,8,0.16239780813448107,7,0.0003574712922600243,8,8,1,0.006351221010640704,COMPLETE
1,0.5158982511923689,2026-09-22 09:03:45.269769,2026-09-22 09:03:49.490822,0 days 00:00:04.221053,relu,32,16,0.34301794076057535,3,0.0014447746112718689,4,4,1,6.290644294586145e-06,COMPLETE
2,0.5572337042925278,2026-09-22 09:03:49.490822,2026-09-22 09:03:55.801392,0 days 00:00:06.310570,gelu,64,8,0.4687496940092467,5,0.0027051668818999287,12,4,1,0.001260466458564947,COMPLETE
3,0.5,2026-09-22 09:03:55.801392,2026-09-22 09:03:59.470198,0 days 00:00:03.668806,relu,64,16,0.4452413703502375,5,0.001193526270851053,16,1,2,0.0012164139351417069,PRUNED
4,0.5747217806041336,2026-09-22 09:03:59.470198,2026-09-22 09:04:06.648626,0 days 00:00:07.178428,gelu,16,32,0.19971689165954998,3,0.00011128194768838959,12,1,3,0.00035127047262708476,COMPLETE
5,0.5,2026-09-22 09:04:06.648626,2026-09-22 09:04:11.384570,0 days 00:00:04.735944,relu,16,8,0.2669644012595116,3,0.000427454597625198,24,1,2,0.0018709365688887364,PRUNED
6,0.6224165341812401,2026-09-22 09:04:11.384570,2026-09-22 09:04:14.549336,0 days 00:00:03.164766,gelu,16,32,0.19682210860460017,7,0.0021959317857485673,4,8,1,9.083381663660597e-06,COMPLETE
7,0.5,2026-09-22 09:04:14.550336,2026-09-22 09:04:18.712017,0 days 00:00:04.161681,gelu,64,16,0.23642654042010341,3,0.00018095073787215783,2,1,3,0.0005804314717414074,PRUNED
8,0.5182829888712241,2026-09-22 09:04:18.712017,2026-09-22 09:04:20.944341,0 days 00:00:02.232324,gelu,64,16,0.10367882064665186,5,0.0008878888265538121,24,4,2,2.170500348871115e-06,PRUNED
9,0.5,2026-09-22 09:04:20.944341,2026-09-22 09:04:23.990650,0 days 00:00:03.046309,gelu,32,16,0.41792452141665937,7,0.00022929906728696718,6,1,2,0.007799059237255683,PRUNED
