number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_fire_blocks,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_squeeze_ratio,params_squeeze_width,params_weight_decay,state
0,0.5,2026-09-22 09:07:29.361560,2026-09-22 09:07:38.009922,0 days 00:00:08.648362,gelu,8,0.16239780813448107,3,5,0.0003574712922600243,8,4,4,32,0.006351221010640704,COMPLETE
1,0.4507154213036566,2026-09-22 09:07:38.009922,2026-09-22 09:07:41.643220,0 days 00:00:03.633298,gelu,16,0.12602063719411183,3,5,0.0005748924681991981,2,4,8,16,0.00023423849847112912,COMPLETE
2,0.5047694753577107,2026-09-22 09:07:41.643220,2026-09-22 09:07:45.592872,0 days 00:00:03.949652,relu,16,0.23013213230530574,2,3,0.0007641361869233315,2,8,2,8,0.0048696409415209,COMPLETE
3,0.5095389507154213,2026-09-22 09:07:45.592872,2026-09-22 09:07:47.610651,0 days 00:00:02.017779,gelu,32,0.39184247133522565,2,5,0.0008330803890301997,16,8,4,8,2.106648601704221e-05,COMPLETE
4,0.5230524642289348,2026-09-22 09:07:47.610651,2026-09-22 09:07:50.412102,0 days 00:00:02.801451,gelu,32,0.4232481518257668,4,3,0.00021775224101934097,16,8,2,32,2.031980983842497e-06,COMPLETE
5,0.5,2026-09-22 09:07:50.412102,2026-09-22 09:07:51.089463,0 days 00:00:00.677361,gelu,32,0.48497891797684456,3,3,0.00030019946952402954,8,1,2,8,0.00011889469769530483,PRUNED
6,0.5,2026-09-22 09:07:51.089463,2026-09-22 09:07:53.122858,0 days 00:00:02.033395,gelu,16,0.1746074041599417,3,5,0.000862581622692092,24,1,4,16,0.00013902686711035023,PRUNED
7,0.5,2026-09-22 09:07:53.122858,2026-09-22 09:07:54.301335,0 days 00:00:01.178477,gelu,16,0.2356119164194803,3,3,0.000227638208665269,24,4,8,8,2.3572794556769826e-06,PRUNED
8,0.5230524642289348,2026-09-22 09:07:54.301335,2026-09-22 09:07:57.755821,0 days 00:00:03.454486,gelu,16,0.32732344133418867,2,3,0.000302450850735014,6,4,2,16,0.0009682012086882475,COMPLETE
9,0.4984101748807631,2026-09-22 09:07:57.755821,2026-09-22 09:08:00.614079,0 days 00:00:02.858258,relu,32,0.4854479908357011,4,3,0.00035218372593046857,16,1,8,32,1.1529924570330225e-06,PRUNED
