feature,mean,scale
Coef_1,0,1
Coef_2,0,1
Coef_3,0,1
Coef_4,0,1
Coef_5,0,1
Coef_6,0.30827544039735105,0.02593682894808479
Coef_7,2.0379449470198678,0.11499231459020103
Coef_8,4.1721854304635751e-07,8.7160973019773061e-07
Coef_9,-7.4503311258278144e-07,7.7495470850112282e-07
Coef_10,2.2185430463576161e-07,4.7498958367597429e-07
Coef_11,0.97793707615894043,0.072967213900047331
Coef_12,3.3112582781456954e-09,1.2862863973215254e-07
Coef_13,0.041145682119205294,0.014197605922784549
Coef_14,-0.13782451655629141,0.015043045097740012
Coef_15,0.026635917218543043,0.015042896799782575
Coef_16,0.091583337748344373,0.025746033359854113
Coef_17,-0.079705331125827825,0.02528794635848132
Coef_18,0.074917533112582771,0.01863981384890287
Coef_19,-0.00014162582781456992,0.013533643191768962
Coef_20,0.0034940794701986758,0.013859805317441985
Coef_21,-0.02305140397350993,0.017667087807700998
Coef_22,-0.095793589403973506,0.034723222037504643
Coef_23,0.33946140066225167,0.039518474006424179
Coef_24,-0.081930887417218545,0.034949192943536531
Coef_25,-0.0093655463576158941,0.033811825817536098
Coef_26,0.075289139072847677,0.035017438833682926
Coef_27,0.0040879039735099336,0.026728957906899255
Coef_28,-0.018134033112582781,0.0058653409959612372
Coef_29,-0.0032964768211920527,0.0047999201370762844
Coef_30,-0.051472665562913911,0.011090463842529602
Coef_31,0.023366463576158944,0.01340610077454105
Coef_32,0.028969410596026486,0.016234021415782954
Coef_33,-0.046607841059602653,0.01689372510750221
Coef_34,0.0037961192052980131,0.0071493323695405965
Coef_35,-0.087913205298013247,0.011180903474268039
Coef_36,0.013326572847682121,0.0097410489089903574
Coef_37,0.046478350993377486,0.010698084416757139
Coef_38,-0.019443168874172183,0.013604271776814876
Coef_39,0.013554695364238409,0.012612919509622015
Coef_40,0.010758165562913908,0.012268370987806133
Coef_41,-0.046111427152317884,0.012579303979773847
Coef_42,0.034919052980132446,0.01151068615499452
Coef_43,-0.054621639072847679,0.019973198748752009
Coef_44,-0.044967503311258275,0.037018301046945777
Coef_45,0.1002874867549669,0.02076234098817923
Coef_46,-0.03236364238410596,0.02469074703762696
Coef_47,0.19217345033112584,0.018832039020370353
Coef_48,-0.04865716887417218,0.01852035635361423
Coef_49,0.0082034536423841054,0.0044292320537085567
Coef_50,-0.0026823774834437088,0.0046045653673006601
Coef_51,-0.0070581059602648991,0.0059767437292112882
Coef_52,-0.014207860927152318,0.0076356424117595629
Coef_53,0.0015381490066225167,0.0066878280758282628
Coef_54,0.03481267549668874,0.0087000667627412237
Coef_55,-0.003410956953642384,0.003809485847893299
Coef_56,-0.007575377483443709,0.0056981335619037858
Coef_57,-0.013804917218543046,0.0065154740565740079
Coef_58,-0.020992685430463575,0.0086565399713290879
Coef_59,0.012691546357615895,0.0081993973609215988
Coef_60,0.025743612582781458,0.011645151676774049
Coef_61,0.020734009933774833,0.0084547118551066801
Coef_62,0.014954880794701987,0.0073572589220930133
Coef_63,-0.0080289933774834437,0.010466789807804055
Coef_64,9.2182119205297982e-05,0.0089674085747390147
Coef_65,0.015505443708609271,0.0099178132337499943
Coef_66,-0.041582850993377475,0.0087767300002714321
Coef_67,0.0028826324503311257,0.0087680036466511978
Coef_68,0.0020178774834437086,0.0091900028036637355
Coef_69,-0.001329264900662252,0.01060303515224586
Coef_70,0.028721503311258282,0.014884573827005544
Coef_71,-0.085126990066225164,0.015407758293761432
Coef_72,-0.0080128642384105966,0.012825339410124008
Coef_73,-0.029339178807947019,0.01510858131062223
Coef_74,-0.017101725165562916,0.025886591380838569
Coef_75,0.0097885894039735095,0.011819204321988888
Coef_76,-0.00023625827814569535,0.0027904637725193154
Coef_77,0.00037465562913907281,0.0029417627335912833
Coef_78,0.01789200331125828,0.0042742009620778763
Coef_79,0.0064537516556291393,0.0063199041143425592
Coef_80,0.0022933973509933776,0.004926973052963528
Coef_81,-0.0083582350993377484,0.0085581004372310854
Coef_82,0.0068930165562913915,0.0034889809423787601
Coef_83,0.0064955761589403967,0.0051386465549194222
Coef_84,-0.0034167019867549667,0.0049573742713411289
Coef_85,0.0026363543046357615,0.0047149331932544213
Coef_86,0.0048800761589403979,0.0058135548656840785
Coef_87,-0.017203953642384105,0.0059355873433413267
Coef_88,0.0036866821192052981,0.0045548857654213338
Coef_89,0.0067915960264900658,0.0054843259665162203
Coef_90,0.0061290165562913916,0.006670086630521847
Coef_91,-0.0077414205298013241,0.0067801645606024967
Coef_92,-0.012654261589403974,0.0072337351504097088
Coef_93,0.019060917218543045,0.0072568376084854403
Coef_94,-0.015368327814569536,0.0066683889429549892
Coef_95,-0.0073390662251655624,0.0049587246887340484
Coef_96,-0.0048142516556291389,0.0080648304599207441
Coef_97,-0.0032958245033112583,0.0085053272035861063
Coef_98,0.002892880794701987,0.0071157050950018388
Coef_99,-0.0097468245033112567,0.0067863634712978013
Coef_100,-0.0039169602649006627,0.0070614656897249632
Coef_101,0.008759301324503312,0.0076223456015065468
Coef_102,-0.012982112582781457,0.0086638251650547737
Coef_103,0.0035447251655629144,0.010660372349800291
Coef_104,0.015663920529801322,0.012266874591841339
Coef_105,0.0028356357615894039,0.0082610063920234462
Coef_106,0.021336847682119207,0.010662121215990812
Coef_107,-0.011139728476821192,0.011772212434447989
Coef_108,0.0016690860927152319,0.0074890690222752399
Coef_109,0.00083125827814569536,0.0021129696247885708
Coef_110,-0.0019886456953642382,0.0023212054309375376
