number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_depth_multiplier,params_dropout,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_weight_decay,params_width_multiplier,state
0,0.5840050753843857,2026-09-22 09:23:11.422184,2026-09-22 09:23:40.820243,0 days 00:00:29.398059,gelu,8,2,0.16239780813448107,5,0.0003574712922600243,8,8,0.006351221010640704,1.5,COMPLETE
1,0.5669876100910584,2026-09-22 09:23:40.820243,2026-09-22 09:23:51.625987,0 days 00:00:10.805744,relu,32,1,0.1185801650879991,3,0.000471705203762518,6,1,0.0013826232179369874,1.5,COMPLETE
2,0.5962457083146738,2026-09-22 09:23:51.625987,2026-09-22 09:24:21.348819,0 days 00:00:29.722832,gelu,8,1,0.4579309401710595,3,0.000642033033629786,24,1,5.4880470007660465e-06,1.5,COMPLETE
3,0.5247424988804299,2026-09-22 09:24:21.348819,2026-09-22 09:24:24.704118,0 days 00:00:03.355299,relu,32,1,0.12961786069363615,5,0.0001018959297939515,2,4,0.0018274508859816032,1.0,PRUNED
4,0.5177638453500523,2026-09-22 09:24:24.704118,2026-09-22 09:24:31.616187,0 days 00:00:06.912069,gelu,16,2,0.3545641645055122,3,0.0005917520523090669,2,4,5.1305517605898387e-05,1.0,PRUNED
5,0.5162710852366025,2026-09-22 09:24:31.616187,2026-09-22 09:24:41.813183,0 days 00:00:10.196996,gelu,8,2,0.27084311545050255,3,0.001558428978238547,24,4,0.003840300419098858,1.5,PRUNED
6,0.5100014927601134,2026-09-22 09:24:41.813183,2026-09-22 09:25:02.908201,0 days 00:00:21.095018,relu,8,2,0.2114585856946446,3,0.0002634777514406047,6,1,1.4045842344024705e-06,0.5,PRUNED
7,0.6297208538587848,2026-09-22 09:25:02.908201,2026-09-22 09:26:30.694918,0 days 00:01:27.786717,relu,8,3,0.1905983100791752,3,0.00011487613841748918,6,8,0.00023097861492693574,0.5,COMPLETE
8,0.5282504851470369,2026-09-22 09:26:30.694918,2026-09-22 09:26:36.031711,0 days 00:00:05.336793,relu,32,2,0.4588441039810308,3,0.002138093289022218,8,4,0.0003407264348530192,0.5,PRUNED
9,0.616733840871772,2026-09-22 09:26:36.031711,2026-09-22 09:27:03.008153,0 days 00:00:26.976442,gelu,16,1,0.32732344133418867,3,0.000302450850735014,6,4,0.0009682012086882475,1.0,COMPLETE
