Cohort,Side,OOF_BA_PointNet_PLS-DA,OOF_BA_PointNet_raw_XYZ,Test_Accuracy_Mean_PointNet_PLS-DA,Test_Accuracy_Mean_PointNet_raw_XYZ,Test_Accuracy_SD_PointNet_PLS-DA,Test_Accuracy_SD_PointNet_raw_XYZ,Test_BA_Mean_PointNet_PLS-DA,Test_BA_Mean_PointNet_raw_XYZ,Test_BA_SD_PointNet_PLS-DA,Test_BA_SD_PointNet_raw_XYZ,Test_F1_Macro_Mean_PointNet_PLS-DA,Test_F1_Macro_Mean_PointNet_raw_XYZ,Test_ROC_AUC_Mean_PointNet_PLS-DA,Test_ROC_AUC_Mean_PointNet_raw_XYZ,Delta_Test_Accuracy_Mean_PLSDA_minus_raw,Delta_Test_BA_Mean_PLSDA_minus_raw,Delta_Test_F1_Macro_Mean_PLSDA_minus_raw,Delta_Test_ROC_AUC_Mean_PLSDA_minus_raw
All_coef,left,0.7741894885219492,0.7767569472412404,0.7162162162162162,0.6801801801801801,0.035753396095467474,0.06666057922048985,0.687232905982906,0.6976495726495727,0.04186906381591778,0.02957516022703053,0.6769320284527857,0.6694652913971734,0.7831196581196581,0.8108974358974358,0.03603603603603611,-0.01041666666666674,0.007466737055612294,-0.02777777777777768
All_coef,right,0.8317627494456763,0.8332039911308204,0.7955555555555556,0.7466666666666666,0.040734006177385214,0.03527668414752791,0.7121212121212123,0.7318181818181818,0.09046292027623017,0.06102600719135247,0.7112649979357223,0.7027261468405932,0.7906060606060605,0.7933333333333333,0.04888888888888898,-0.019696969696969546,0.008538851095129085,-0.0027272727272728003
All_coef_Ds004469,left,0.629570747217806,0.5818759936406995,0.75,0.5555555555555555,0.0833333333333334,0.33678765702728175,0.5166666666666667,0.3333333333333333,0.07637626158259735,0.20207259421636903,0.4795574795574795,0.3333333333333333,0.2666666666666666,0.18333333333333326,0.19444444444444453,0.1833333333333334,0.1462241462241462,0.08333333333333334
All_coef_Ds004469,right,0.8138528138528138,0.7272727272727273,0.5555555555555556,0.5555555555555555,0.20971762320196527,0.0962250448649376,0.30303030303030304,0.303030303030303,0.11439143083743564,0.052486388108147784,0.34899749373433586,0.35555555555555546,0.0,0.0303030303030303,1.1102230246251565e-16,5.551115123125783e-17,-0.006558061821219596,-0.0303030303030303
All_coef_Ds005602,left,0.8410956859232721,0.8510971786833856,0.7526881720430106,0.8279569892473119,0.03357525805590534,0.0518475847365213,0.7752192982456142,0.8391812865497076,0.013339391513811881,0.04836176873398568,0.7500332902689452,0.8246194623570139,0.9057017543859649,0.8874269005847953,-0.07526881720430123,-0.06396198830409339,-0.07458617208806873,0.018274853801169555
All_coef_Ds005602,right,0.8324893179300522,0.8564646304795063,0.7883597883597884,0.8095238095238096,0.0641500299099584,0.06349206349206349,0.7537878787878788,0.8137958532695375,0.012635527812991095,0.03504975200444003,0.748060304002579,0.7899262975349931,0.8628389154704944,0.870414673046252,-0.021164021164021274,-0.06000797448165873,-0.04186599353241416,-0.007575757575757569
