number,value,datetime_start,datetime_complete,duration,params_activation,params_base_channels,params_batch_size,params_dropout,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_residual_blocks,params_weight_decay,state
0,0.47619047619047616,2026-09-22 09:08:39.641771,2026-09-22 09:08:45.793802,0 days 00:00:06.152031,gelu,64,8,0.16239780813448107,7,0.0003574712922600243,8,8,1,0.006351221010640704,COMPLETE
1,0.5454545454545454,2026-09-22 09:08:45.793802,2026-09-22 09:08:51.283969,0 days 00:00:05.490167,relu,32,16,0.34301794076057535,3,0.0014447746112718689,4,4,1,6.290644294586145e-06,COMPLETE
2,0.5984848484848485,2026-09-22 09:08:51.283969,2026-09-22 09:08:58.590489,0 days 00:00:07.306520,gelu,64,8,0.4687496940092467,5,0.0027051668818999287,12,4,1,0.001260466458564947,COMPLETE
3,0.5,2026-09-22 09:08:58.590489,2026-09-22 09:09:01.585505,0 days 00:00:02.995016,relu,64,16,0.4452413703502375,5,0.001193526270851053,16,1,2,0.0012164139351417069,PRUNED
4,0.5,2026-09-22 09:09:01.585505,2026-09-22 09:09:04.761437,0 days 00:00:03.175932,gelu,16,32,0.19971689165954998,3,0.00011128194768838959,12,1,3,0.00035127047262708476,PRUNED
5,0.5,2026-09-22 09:09:04.761437,2026-09-22 09:09:12.178118,0 days 00:00:07.416681,relu,16,8,0.2669644012595116,3,0.000427454597625198,24,1,2,0.0018709365688887364,PRUNED
6,0.5335497835497836,2026-09-22 09:09:12.178118,2026-09-22 09:09:13.696013,0 days 00:00:01.517895,gelu,16,32,0.19682210860460017,7,0.0021959317857485673,4,8,1,9.083381663660597e-06,PRUNED
7,0.5,2026-09-22 09:09:13.696013,2026-09-22 09:09:19.481080,0 days 00:00:05.785067,gelu,64,16,0.23642654042010341,3,0.00018095073787215783,2,1,3,0.0005804314717414074,PRUNED
8,0.6222943722943723,2026-09-22 09:09:19.481080,2026-09-22 09:09:24.837823,0 days 00:00:05.356743,gelu,64,16,0.10367882064665186,5,0.0008878888265538121,24,4,2,2.170500348871115e-06,COMPLETE
9,0.5,2026-09-22 09:09:24.837823,2026-09-22 09:09:27.456959,0 days 00:00:02.619136,gelu,32,16,0.41792452141665937,7,0.00022929906728696718,6,1,2,0.007799059237255683,PRUNED
