Protocol,ProtocolKey,Cohort,Side,Model,OptunaTrials,BestTrial,BestOOF_BalancedAccuracy,BestParams,StudyDir
Optuna raw XYZ PointNet,pointnet_raw,All_coef,left,PointNet,10,1,0.7767569472412404,"{""batch_size"": 16, ""dropout"": 0.5849549260809972, ""lr"": 0.00012184186502221769, ""weight_decay"": 0.0029154431891537554}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\studies\pointnet_raw\All_coef\left\PointNet
Optuna raw XYZ PointNet,pointnet_raw,All_coef,right,PointNet,10,6,0.8332039911308204,"{""batch_size"": 8, ""dropout"": 0.34758845505563507, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\studies\pointnet_raw\All_coef\right\PointNet
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds004469,left,PointNet,10,3,0.5818759936406995,"{""batch_size"": 8, ""dropout"": 0.28318092164684583, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\studies\pointnet_raw\All_coef_Ds004469\left\PointNet
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds004469,right,PointNet,10,6,0.7272727272727273,"{""batch_size"": 8, ""dropout"": 0.34758845505563507, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\studies\pointnet_raw\All_coef_Ds004469\right\PointNet
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds005602,left,PointNet,10,8,0.8510971786833856,"{""batch_size"": 8, ""dropout"": 0.5474136752138244, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\studies\pointnet_raw\All_coef_Ds005602\left\PointNet
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds005602,right,PointNet,10,0,0.8564646304795063,"{""batch_size"": 8, ""dropout"": 0.17799726016810133, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\studies\pointnet_raw\All_coef_Ds005602\right\PointNet
