Protocol,Cohort,Side,Model,Threshold,OOF_BalancedAccuracy_0_5,OOF_BalancedAccuracy_Tuned,OOF_F1_Macro_Tuned,OOF_Sensitivity_Tuned,OOF_Specificity_Tuned,ThresholdSource
Optuna fold-local PLS-DA coefficient,All_coef,left,SVM,0.44,0.7898459524768425,0.813028594442207,0.8184615384615384,0.7307692307692307,0.8952879581151832,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef,left,MLP,0.31,0.7994613370922272,0.838829037454692,0.83734335839599,0.7980769230769231,0.8795811518324608,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef,left,ResNet,0.36,0.6504228755537657,0.7152637937978252,0.7059467081590975,0.6923076923076923,0.7382198952879581,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef,left,ResNetAE,0.295,0.6220046314941603,0.6975181232380185,0.6500593119810202,0.8557692307692307,0.5392670157068062,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef,left,MobileNet,0.37,0.6469492549335482,0.6899416028997181,0.6793478260869565,0.6730769230769231,0.7068062827225131,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef,left,SqueezeNet,0.345,0.5166129681836489,0.5263038662907773,0.4908174537420602,0.6442307692307693,0.4083769633507853,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef,right,SVM,0.37,0.7859756097560975,0.8165742793791575,0.8214527027027028,0.7195121951219512,0.9136363636363636,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef,right,MLP,0.375,0.8476718403547672,0.8606984478935699,0.8676842625962831,0.7804878048780488,0.9409090909090908,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef,right,ResNet,0.36,0.6793237250554324,0.7321507760532151,0.7321507760532151,0.6097560975609756,0.8545454545454545,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef,right,ResNetAE,0.21,0.6388026607538803,0.7334257206208425,0.6858492258025946,0.7804878048780488,0.6863636363636364,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef,right,MobileNet,0.285,0.6068736141906874,0.6980598669623059,0.6863884324679591,0.6097560975609756,0.7863636363636364,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef,right,SqueezeNet,0.27,0.5,0.5111419068736143,0.2979053969766044,0.926829268292683,0.0954545454545454,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds004469,left,SVM,0.505,0.4721780604133545,0.5302066772655007,0.5272173582032736,0.4117647058823529,0.6486486486486487,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds004469,left,MLP,0.325,0.5548489666136726,0.6033386327503975,0.4984520123839009,0.8823529411764706,0.3243243243243243,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds004469,left,ResNet,0.345,0.5588235294117647,0.6772655007949127,0.6493506493506493,0.7058823529411765,0.6486486486486487,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds004469,left,ResNetAE,0.295,0.5747217806041336,0.713831478537361,0.6291208791208791,0.9411764705882352,0.4864864864864865,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds004469,left,MobileNet,0.42,0.5,0.5421303656597775,0.4807692307692308,0.7058823529411765,0.3783783783783784,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds004469,left,SqueezeNet,0.47,0.5047694753577107,0.5214626391096979,0.5014204545454545,0.5294117647058824,0.5135135135135135,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds004469,right,SVM,0.49,0.4924242424242424,0.5021645021645021,0.2545979084024522,0.9090909090909092,0.0952380952380952,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds004469,right,MLP,0.24,0.5670995670995671,0.7445887445887446,0.6914464845499328,0.7272727272727273,0.7619047619047619,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds004469,right,ResNet,0.135,0.5335497835497836,0.6547619047619048,0.4520499108734403,1.0,0.3095238095238095,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds004469,right,ResNetAE,0.345,0.5,0.6774891774891775,0.659753086419753,0.5454545454545454,0.8095238095238095,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds004469,right,MobileNet,0.355,0.5,0.5865800865800865,0.5835515976951282,0.3636363636363636,0.8095238095238095,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds004469,right,SqueezeNet,0.185,0.4859307359307359,0.5476190476190477,0.2702898550724637,1.0,0.0952380952380952,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds005602,left,SVM,0.555,0.8410956859232721,0.8508359456635319,0.8639133905796679,0.7471264367816092,0.9545454545454546,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds005602,left,MLP,0.325,0.8878190774742498,0.8995745633676668,0.893598233995585,0.896551724137931,0.9025974025974026,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds005602,left,ResNet,0.37,0.6434542469025227,0.6897298104194656,0.679705459770115,0.6781609195402298,0.7012987012987013,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds005602,left,ResNetAE,0.285,0.6714434990297059,0.7482086878638603,0.721533613445378,0.8275862068965517,0.6688311688311688,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds005602,left,MobileNet,0.275,0.6581952530228392,0.700029855202269,0.6387802566973899,0.9195402298850576,0.4805194805194805,training_oof_only
Optuna fold-local PLS-DA coefficient,All_coef_Ds005602,left,SqueezeNet,0.38,0.5172413793103449,0.5316838334079713,0.4205183008282126,0.8620689655172413,0.2012987012987013,training_oof_only
