Protocol,Cohort,Side,Model,OptunaTrials,BestTrial,BestOOF_BalancedAccuracy_0_5,OOF_BalancedAccuracy_Tuned,Threshold,BestParams,StudyDir
coef_plsda,All_coef,right,MobileNet,10,9,0.6420177383592018,0.6266075388026607,0.25,"{""activation"": ""gelu"", ""batch_size"": 16, ""depth_multiplier"": 1, ""dropout"": 0.32732344133418867, ""kernel_size"": 3, ""lr"": 0.000302450850735014, ""pls_components"": 6, ""pool_size"": 4, ""weight_decay"": 0.0009682012086882475, ""width_multiplier"": 1.0}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef\right\MobileNet
coef_plsda,All_coef,right,SqueezeNet,10,0,0.5,0.532760532150776,0.265,"{""activation"": ""gelu"", ""batch_size"": 8, ""dropout"": 0.16239780813448107, ""fire_blocks"": 3, ""kernel_size"": 5, ""lr"": 0.0003574712922600243, ""pls_components"": 8, ""pool_size"": 4, ""squeeze_ratio"": 4, ""squeeze_width"": 32, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef\right\SqueezeNet
coef_plsda,All_coef_Ds004469,left,SVM,10,8,0.5095389507154213,0.5294117647058824,0.795,"{""C"": 1.506272232520005, ""activation"": ""gelu"", ""batch_size"": 16, ""dropout"": 0.37637509524098645, ""gamma"": 0.031775345821188294, ""gamma_mode"": ""numeric"", ""kernel"": ""linear"", ""lr"": 0.00010580403601696646, ""pls_components"": 8, ""weight_decay"": 0.0001117820920069873}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\left\SVM
coef_plsda,All_coef_Ds004469,left,MLP,10,5,0.5461049284578696,0.5389507154213037,0.505,"{""activation"": ""gelu"", ""batch_size"": 32, ""dropout"": 0.19971689165954998, ""hidden_widths"": [128, 128, 128], ""lr"": 0.00011128194768838959, ""mlp_depth"": 3, ""mlp_width"": 128, ""pls_components"": 12, ""weight_decay"": 0.00035127047262708476}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\left\MLP
coef_plsda,All_coef_Ds004469,left,ResNet,10,6,0.6224165341812401,0.6478537360890302,0.35,"{""activation"": ""gelu"", ""base_channels"": 16, ""batch_size"": 32, ""dropout"": 0.19682210860460017, ""kernel_size"": 7, ""lr"": 0.0021959317857485673, ""pls_components"": 4, ""pool_size"": 8, ""residual_blocks"": 1, ""weight_decay"": 9.083381663660597e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\left\ResNet
coef_plsda,All_coef_Ds004469,left,ResNetAE,10,8,0.6383147853736089,0.6232114467408585,0.25,"{""activation"": ""gelu"", ""base_channels"": 32, ""batch_size"": 8, ""bottleneck"": 16, ""dropout"": 0.4713274250350902, ""kernel_size"": 7, ""lr"": 0.0024500297851058135, ""pls_components"": 2, ""pool_size"": 8, ""recon_weight"": 0.058718368852898675, ""residual_blocks"": 3, ""weight_decay"": 0.006542056762893132}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\left\ResNetAE
coef_plsda,All_coef_Ds004469,left,MobileNet,10,5,0.6248012718600954,0.6112877583465819,0.42000000000000004,"{""activation"": ""gelu"", ""batch_size"": 8, ""depth_multiplier"": 2, ""dropout"": 0.27084311545050255, ""kernel_size"": 3, ""lr"": 0.001558428978238547, ""pls_components"": 24, ""pool_size"": 4, ""weight_decay"": 0.003840300419098858, ""width_multiplier"": 1.5}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\left\MobileNet
coef_plsda,All_coef_Ds004469,left,SqueezeNet,10,4,0.5230524642289348,0.5,0.505,"{""activation"": ""gelu"", ""batch_size"": 32, ""dropout"": 0.4232481518257668, ""fire_blocks"": 4, ""kernel_size"": 3, ""lr"": 0.00021775224101934097, ""pls_components"": 16, ""pool_size"": 8, ""squeeze_ratio"": 2, ""squeeze_width"": 32, ""weight_decay"": 2.031980983842497e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\left\SqueezeNet
coef_plsda,All_coef_Ds004469,right,SVM,10,0,0.5844155844155844,0.5227272727272727,0.515,"{""C"": 1.40779231399724, ""activation"": ""gelu"", ""batch_size"": 8, ""dropout"": 0.16239780813448107, ""gamma"": 4.982752357076453e-06, ""gamma_mode"": ""numeric"", ""kernel"": ""rbf"", ""lr"": 0.0003574712922600243, ""pls_components"": 8, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\right\SVM
coef_plsda,All_coef_Ds004469,right,MLP,10,2,0.6244588744588744,0.6829004329004329,0.17,"{""activation"": ""gelu"", ""batch_size"": 16, ""dropout"": 0.36500891374159283, ""hidden_widths"": [256, 256, 256], ""lr"": 0.00015144860262751404, ""mlp_depth"": 3, ""mlp_width"": 256, ""pls_components"": 6, ""weight_decay"": 9.565499215943819e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\right\MLP
