Protocol,Cohort,Side,Model,EvalSeed,OptunaTrials,BestOOF_BalancedAccuracy_0_5,OOF_BalancedAccuracy_Tuned,Threshold,Test_Accuracy_0_5,Test_BalancedAccuracy_0_5,Test_F1_Macro_0_5,Test_Accuracy_Tuned,Test_BalancedAccuracy_Tuned,Test_Sensitivity_Tuned,Test_Specificity_Tuned,Test_F1_Macro_Tuned,Test_ROC_AUC,Test_PR_AUC,BestParams,RunDir
coef_plsda,All_coef_Ds004469,right,SqueezeNet,2026,10,0.5097402597402597,0.5541125541125541,0.45000000000000007,0.5833333333333334,0.3181818181818182,0.3684210526315789,0.5833333333333334,0.3181818181818182,0.0,0.6363636363636364,0.3684210526315789,0.5454545454545454,0.16666666666666666,"{""activation"": ""gelu"", ""batch_size"": 16, ""dropout"": 0.32732344133418867, ""fire_blocks"": 2, ""kernel_size"": 3, ""lr"": 0.000302450850735014, ""pls_components"": 6, ""pool_size"": 4, ""squeeze_ratio"": 2, ""squeeze_width"": 16, ""weight_decay"": 0.0009682012086882475}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds004469\right\SqueezeNet\seed_2026
coef_plsda,All_coef_Ds005602,left,SVM,42,10,0.8878190774742498,0.8963278101209136,0.335,0.8870967741935484,0.8771929824561404,0.8800773694390716,0.9032258064516129,0.9133771929824561,0.9583333333333334,0.868421052631579,0.9006410256410258,0.9418859649122807,0.9236167202368726,"{""C"": 0.004574162058025036, ""activation"": ""relu"", ""batch_size"": 32, ""dropout"": 0.16448851490160177, ""gamma"": 0.020121155449063854, ""gamma_mode"": ""numeric"", ""kernel"": ""linear"", ""lr"": 0.0004038176882071838, ""pls_components"": 12, ""weight_decay"": 0.001052457468133564}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\SVM\seed_42
coef_plsda,All_coef_Ds005602,left,SVM,123,10,0.8878190774742498,0.8963278101209136,0.335,0.8709677419354839,0.8717105263157895,0.865945945945946,0.8548387096774194,0.8739035087719298,0.9583333333333334,0.7894736842105263,0.8529644268774703,0.9353070175438597,0.9159634759233901,"{""C"": 0.004574162058025036, ""activation"": ""relu"", ""batch_size"": 32, ""dropout"": 0.16448851490160177, ""gamma"": 0.020121155449063854, ""gamma_mode"": ""numeric"", ""kernel"": ""linear"", ""lr"": 0.0004038176882071838, ""pls_components"": 12, ""weight_decay"": 0.001052457468133564}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\SVM\seed_123
coef_plsda,All_coef_Ds005602,left,SVM,2026,10,0.8878190774742498,0.8963278101209136,0.335,0.9032258064516129,0.8980263157894737,0.8980263157894737,0.8870967741935484,0.9002192982456141,0.9583333333333334,0.8421052631578947,0.884666489503056,0.949561403508772,0.9343197644628269,"{""C"": 0.004574162058025036, ""activation"": ""relu"", ""batch_size"": 32, ""dropout"": 0.16448851490160177, ""gamma"": 0.020121155449063854, ""gamma_mode"": ""numeric"", ""kernel"": ""linear"", ""lr"": 0.0004038176882071838, ""pls_components"": 12, ""weight_decay"": 0.001052457468133564}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\SVM\seed_2026
coef_plsda,All_coef_Ds005602,left,MLP,42,10,0.8935662039110315,0.9115539632781011,0.53,0.8548387096774194,0.8585526315789473,0.8501208702659147,0.8548387096774194,0.8585526315789473,0.875,0.8421052631578947,0.8501208702659147,0.9364035087719299,0.9135589998559233,"{""activation"": ""relu"", ""batch_size"": 8, ""dropout"": 0.23007332881069884, ""hidden_widths"": [32, 32], ""lr"": 0.0018832519048593583, ""mlp_depth"": 2, ""mlp_width"": 32, ""pls_components"": 2, ""weight_decay"": 0.0003113095956122125}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\MLP\seed_42
coef_plsda,All_coef_Ds005602,left,MLP,123,10,0.8935662039110315,0.9115539632781011,0.53,0.8548387096774194,0.8662280701754386,0.8517140579325007,0.8548387096774194,0.8662280701754386,0.9166666666666666,0.8157894736842105,0.8517140579325007,0.944078947368421,0.9002008542149244,"{""activation"": ""relu"", ""batch_size"": 8, ""dropout"": 0.23007332881069884, ""hidden_widths"": [32, 32], ""lr"": 0.0018832519048593583, ""mlp_depth"": 2, ""mlp_width"": 32, ""pls_components"": 2, ""weight_decay"": 0.0003113095956122125}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\MLP\seed_123
coef_plsda,All_coef_Ds005602,left,MLP,2026,10,0.8935662039110315,0.9115539632781011,0.53,0.8387096774193549,0.8377192982456141,0.8324324324324325,0.8387096774193549,0.8377192982456141,0.8333333333333334,0.8421052631578947,0.8324324324324325,0.9122807017543859,0.8779727047190282,"{""activation"": ""relu"", ""batch_size"": 8, ""dropout"": 0.23007332881069884, ""hidden_widths"": [32, 32], ""lr"": 0.0018832519048593583, ""mlp_depth"": 2, ""mlp_width"": 32, ""pls_components"": 2, ""weight_decay"": 0.0003113095956122125}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\MLP\seed_2026
coef_plsda,All_coef_Ds005602,left,ResNet,42,10,0.6157635467980296,0.5865054485744141,0.475,0.5161290322580645,0.474780701754386,0.4715909090909091,0.5,0.4616228070175439,0.2916666666666667,0.631578947368421,0.45935302390998595,0.4945175438596492,0.3759205329820676,"{""activation"": ""gelu"", ""base_channels"": 64, ""batch_size"": 8, ""dropout"": 0.4687496940092467, ""kernel_size"": 5, ""lr"": 0.0027051668818999287, ""pls_components"": 12, ""pool_size"": 4, ""residual_blocks"": 1, ""weight_decay"": 0.001260466458564947}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\ResNet\seed_42
coef_plsda,All_coef_Ds005602,left,ResNet,123,10,0.6157635467980296,0.5865054485744141,0.475,0.5483870967741935,0.5087719298245614,0.5068181818181818,0.5483870967741935,0.5087719298245614,0.3333333333333333,0.6842105263157895,0.5068181818181818,0.5328947368421052,0.4337382217775097,"{""activation"": ""gelu"", ""base_channels"": 64, ""batch_size"": 8, ""dropout"": 0.4687496940092467, ""kernel_size"": 5, ""lr"": 0.0027051668818999287, ""pls_components"": 12, ""pool_size"": 4, ""residual_blocks"": 1, ""weight_decay"": 0.001260466458564947}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\ResNet\seed_123
coef_plsda,All_coef_Ds005602,left,ResNet,2026,10,0.6157635467980296,0.5865054485744141,0.475,0.5483870967741935,0.5394736842105263,0.5363247863247864,0.5483870967741935,0.5394736842105263,0.5,0.5789473684210527,0.5363247863247864,0.5350877192982456,0.4182154549794972,"{""activation"": ""gelu"", ""base_channels"": 64, ""batch_size"": 8, ""dropout"": 0.4687496940092467, ""kernel_size"": 5, ""lr"": 0.0027051668818999287, ""pls_components"": 12, ""pool_size"": 4, ""residual_blocks"": 1, ""weight_decay"": 0.001260466458564947}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\ResNet\seed_2026
