Protocol,Side,Model,Seed,TrainRows,TestRows,TestAccuracy,TestBalancedAccuracy,TestSensitivity,TestSpecificity,TestF1Macro,TestROCAUC,TestPRAUC,RunDir,Status
between_class,left,SqueezeNet,42,1040,74,0.5540540540540541,0.5681089743589745,0.6153846153846154,0.5208333333333334,0.5473586654309546,0.561698717948718,0.41172252946840326,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\left\SqueezeNet\seed_42,OK
between_class,left,SqueezeNet,123,1040,74,0.44594594594594594,0.47596153846153844,0.5769230769230769,0.375,0.4450338394000366,0.564903846153846,0.44920493215963386,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\left\SqueezeNet\seed_123,OK
between_class,left,SqueezeNet,2026,1040,74,0.5540540540540541,0.5769230769230769,0.6538461538461539,0.5,0.5500276395798783,0.5592948717948718,0.42873888531428006,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\left\SqueezeNet\seed_2026,OK
between_class,right,SVM,42,820,75,0.8266666666666667,0.7386363636363636,0.55,0.9272727272727272,0.7577639751552794,0.8836363636363637,0.7602867379521225,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\SVM\seed_42,OK
between_class,right,SVM,123,820,75,0.8266666666666667,0.7386363636363636,0.55,0.9272727272727272,0.7577639751552794,0.8836363636363637,0.7602867379521225,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\SVM\seed_123,OK
between_class,right,SVM,2026,820,75,0.8266666666666667,0.7386363636363636,0.55,0.9272727272727272,0.7577639751552794,0.8836363636363637,0.7602867379521225,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\SVM\seed_2026,OK
between_class,right,MLP,42,820,75,0.8266666666666667,0.8181818181818181,0.8,0.8363636363636363,0.7936507936507936,0.8854545454545455,0.7899597628315518,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\MLP\seed_42,OK
between_class,right,MLP,123,820,75,0.9066666666666666,0.8886363636363637,0.85,0.9272727272727272,0.8825240545983442,0.9054545454545455,0.7789424864792511,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\MLP\seed_123,OK
between_class,right,MLP,2026,820,75,0.8933333333333333,0.8636363636363636,0.8,0.9272727272727272,0.8636363636363638,0.8827272727272727,0.7979790411901482,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\MLP\seed_2026,OK
between_class,right,ResNet,42,820,75,0.64,0.5795454545454546,0.45,0.7090909090909091,0.5714285714285714,0.6454545454545454,0.39383889571610237,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\ResNet\seed_42,OK
between_class,right,ResNet,123,820,75,0.68,0.6704545454545454,0.65,0.6909090909090909,0.6399999999999999,0.7936363636363636,0.6546059314307908,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\ResNet\seed_123,OK
between_class,right,ResNet,2026,820,75,0.7066666666666667,0.6727272727272727,0.6,0.7454545454545455,0.6551003344481605,0.7181818181818183,0.4801650768758499,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\ResNet\seed_2026,OK
