Protocol,Side,Model,Mean,SD,Min,Max
between_class,left,MLP,0.7793803418803419,0.025745147833548976,0.7596153846153846,0.8084935897435898
between_class,left,MobileNet,0.5876068376068376,0.019253014199722328,0.5689102564102564,0.6073717948717948
between_class,left,ResNet,0.5801282051282052,0.011556254088025594,0.5673076923076923,0.5897435897435898
between_class,left,ResNetAE,0.6180555555555556,0.056137418688524864,0.5552884615384616,0.6634615384615384
between_class,left,SVM,0.813301282051282,0.0,0.813301282051282,0.813301282051282
between_class,left,SqueezeNet,0.5403311965811965,0.0559196903231222,0.4759615384615384,0.5769230769230769
between_class,right,MLP,0.8568181818181818,0.035718712830685756,0.8181818181818181,0.8886363636363637
between_class,right,MobileNet,0.6560606060606061,0.06673980148253641,0.5795454545454546,0.7022727272727273
between_class,right,ResNet,0.640909090909091,0.0531546161978477,0.5795454545454546,0.6727272727272727
between_class,right,ResNetAE,0.5651515151515151,0.08388590900757745,0.4977272727272727,0.6590909090909092
between_class,right,SVM,0.7386363636363636,0.0,0.7386363636363636,0.7386363636363636
between_class,right,SqueezeNet,0.6749999999999999,0.040208650029441156,0.6386363636363637,0.7181818181818181
within_class,left,MLP,0.780982905982906,0.025745147833548945,0.7612179487179487,0.8100961538461539
within_class,left,MobileNet,0.6557158119658121,0.0644040054477022,0.5865384615384616,0.7139423076923077
within_class,left,ResNet,0.6161858974358975,0.05135086528850035,0.5865384615384616,0.6754807692307692
within_class,left,ResNetAE,0.5884081196581197,0.05598280403853181,0.5552884615384616,0.6530448717948718
within_class,left,SVM,0.8325320512820514,0.0,0.8325320512820513,0.8325320512820513
within_class,left,SqueezeNet,0.5718482905982906,0.014341232648139744,0.5560897435897436,0.5841346153846154
within_class,right,MLP,0.8386363636363635,0.0,0.8386363636363636,0.8386363636363636
within_class,right,MobileNet,0.6696969696969696,0.04003700079310249,0.6272727272727272,0.7068181818181818
within_class,right,ResNet,0.7303030303030303,0.07731727771013984,0.6545454545454545,0.8090909090909091
within_class,right,ResNetAE,0.6901515151515151,0.053894473975249706,0.6454545454545455,0.75
within_class,right,SVM,0.7568181818181818,0.0,0.7568181818181818,0.7568181818181818
within_class,right,SqueezeNet,0.681060606060606,0.01906022064455931,0.6590909090909091,0.6931818181818181
