Protocol,Side,Model,Mean,SD,Min,Max
between_class,left,SVM,0.813301282051282,0.0,0.813301282051282,0.813301282051282
between_class,right,MLP,0.8568181818181818,0.035718712830685756,0.8181818181818181,0.8886363636363637
within_class,left,SVM,0.8325320512820514,0.0,0.8325320512820513,0.8325320512820513
within_class,right,MLP,0.8386363636363635,0.0,0.8386363636363636,0.8386363636363636
