number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_fire_blocks,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_squeeze_ratio,params_squeeze_width,params_weight_decay,state
0,0.5,2026-09-22 09:46:58.357003,2026-09-22 09:47:34.988953,0 days 00:00:36.631950,gelu,8,0.16239780813448107,3,5,0.0003574712922600243,8,4,4,32,0.006351221010640704,COMPLETE
1,0.5,2026-09-22 09:47:34.988953,2026-09-22 09:47:51.747758,0 days 00:00:16.758805,gelu,16,0.12602063719411183,3,5,0.0005748924681991981,2,4,8,16,0.00023423849847112912,COMPLETE
2,0.5070422535211268,2026-09-22 09:47:51.747758,2026-09-22 09:48:04.172882,0 days 00:00:12.425124,relu,16,0.23013213230530574,2,3,0.0007641361869233315,2,8,2,8,0.0048696409415209,COMPLETE
3,0.5015429656591233,2026-09-22 09:48:04.172882,2026-09-22 09:48:11.624436,0 days 00:00:07.451554,gelu,32,0.39184247133522565,2,5,0.0008330803890301997,16,8,4,8,2.106648601704221e-05,COMPLETE
4,0.50858521918025,2026-09-22 09:48:11.624436,2026-09-22 09:48:21.499811,0 days 00:00:09.875375,gelu,32,0.4232481518257668,4,3,0.00021775224101934097,16,8,2,32,2.031980983842497e-06,COMPLETE
5,0.5015429656591233,2026-09-22 09:48:21.499811,2026-09-22 09:48:27.469436,0 days 00:00:05.969625,gelu,32,0.48497891797684456,3,3,0.00030019946952402954,8,1,2,8,0.00011889469769530483,COMPLETE
6,0.5,2026-09-22 09:48:27.469436,2026-09-22 09:48:43.314026,0 days 00:00:15.844590,gelu,16,0.1746074041599417,3,5,0.000862581622692092,24,1,4,16,0.00013902686711035023,PRUNED
7,0.5,2026-09-22 09:48:43.314026,2026-09-22 09:48:56.683371,0 days 00:00:13.369345,gelu,16,0.2356119164194803,3,3,0.000227638208665269,24,4,8,8,2.3572794556769826e-06,PRUNED
8,0.5,2026-09-22 09:48:56.683371,2026-09-22 09:49:10.954543,0 days 00:00:14.271172,gelu,16,0.32732344133418867,2,3,0.000302450850735014,6,4,2,16,0.0009682012086882475,PRUNED
9,0.5,2026-09-22 09:49:10.954543,2026-09-22 09:49:20.386624,0 days 00:00:09.432081,relu,32,0.4854479908357011,4,3,0.00035218372593046857,16,1,8,32,1.1529924570330225e-06,PRUNED
