number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_depth_multiplier,params_dropout,params_kernel_size,params_lr,params_pls_components,params_pool_size,params_weight_decay,params_width_multiplier,state
0,0.6114891596771641,2026-09-22 09:43:13.468768,2026-09-22 09:43:51.424675,0 days 00:00:37.955907,gelu,8,2,0.16239780813448107,5,0.0003574712922600243,8,8,0.006351221010640704,1.5,COMPLETE
1,0.629688241810413,2026-09-22 09:43:51.424675,2026-09-22 09:44:07.446768,0 days 00:00:16.022093,relu,32,1,0.1185801650879991,3,0.000471705203762518,6,1,0.0013826232179369874,1.5,COMPLETE
2,0.6240307010602943,2026-09-22 09:44:07.446768,2026-09-22 09:44:40.437824,0 days 00:00:32.991056,gelu,8,1,0.4579309401710595,3,0.000642033033629786,24,1,5.4880470007660465e-06,1.5,COMPLETE
3,0.5169330590283272,2026-09-22 09:44:40.437824,2026-09-22 09:44:46.440252,0 days 00:00:06.002428,relu,32,1,0.12961786069363615,5,0.0001018959297939515,2,4,0.0018274508859816032,1.0,PRUNED
4,0.5352508308276627,2026-09-22 09:44:46.440252,2026-09-22 09:44:56.882002,0 days 00:00:10.441750,gelu,16,2,0.3545641645055122,3,0.0005917520523090669,2,4,5.1305517605898387e-05,1.0,PRUNED
5,0.5663079601202722,2026-09-22 09:44:56.882002,2026-09-22 09:45:11.987946,0 days 00:00:15.105944,gelu,8,2,0.27084311545050255,3,0.001558428978238547,24,4,0.003840300419098858,1.5,PRUNED
6,0.5240148757714829,2026-09-22 09:45:11.987946,2026-09-22 09:45:39.211713,0 days 00:00:27.223767,relu,8,2,0.2114585856946446,3,0.0002634777514406047,6,1,1.4045842344024705e-06,0.5,PRUNED
7,0.5380993828137364,2026-09-22 09:45:39.211713,2026-09-22 09:46:14.269579,0 days 00:00:35.057866,relu,8,3,0.1905983100791752,3,0.00011487613841748918,6,8,0.00023097861492693574,0.5,PRUNED
8,0.550759613862953,2026-09-22 09:46:14.269579,2026-09-22 09:46:19.887090,0 days 00:00:05.617511,relu,32,2,0.4588441039810308,3,0.002138093289022218,8,4,0.0003407264348530192,0.5,PRUNED
9,0.5578018673840798,2026-09-22 09:46:19.887090,2026-09-22 09:46:30.963487,0 days 00:00:11.076397,gelu,16,1,0.32732344133418867,3,0.000302450850735014,6,4,0.0009682012086882475,1.0,PRUNED
