Protocol,Side,Model,TestAccuracy,TestBalancedAccuracy,TestSensitivity,TestSpecificity,TestF1Macro,TestROCAUC,TestPRAUC
between_class,left,MLP,0.7882882882882883,0.78392094017094,0.7692307692307692,0.798611111111111,0.7743853582913891,0.8664529914529915,0.8460799076890663
between_class,left,MobileNet,0.6576576576576576,0.5892094017094017,0.358974358974359,0.8194444444444445,0.5894511540885429,0.6215277777777778,0.5112917290429874
between_class,left,ResNet,0.6126126126126126,0.5691773504273504,0.4230769230769231,0.7152777777777777,0.5697646644107702,0.6180555555555555,0.48663790230904874
between_class,left,ResNetAE,0.6216216216216216,0.5761217948717948,0.4230769230769231,0.7291666666666666,0.577190047840442,0.624198717948718,0.5064320560463919
between_class,left,SVM,0.8378378378378378,0.813301282051282,0.7307692307692307,0.8958333333333334,0.8187755102040817,0.8774038461538461,0.8389113510745775
between_class,left,SqueezeNet,0.5900900900900901,0.5635683760683761,0.4743589743589743,0.6527777777777778,0.5567939798395359,0.5365918803418803,0.4059478952370237
between_class,right,MLP,0.8533333333333334,0.831060606060606,0.7833333333333333,0.8787878787878788,0.8190897328979494,0.8903030303030303,0.7922299134104248
between_class,right,MobileNet,0.7244444444444444,0.6159090909090909,0.38333333333333336,0.8484848484848485,0.6162904276726883,0.7663636363636365,0.5474143399118311
between_class,right,ResNet,0.7644444444444445,0.6803030303030303,0.5,0.8606060606060607,0.6892017609426099,0.7469696969696971,0.5601827562827187
between_class,right,ResNetAE,0.688888888888889,0.6128787878787879,0.45,0.7757575757575758,0.6104497354497355,0.6854545454545455,0.5137841829288284
between_class,right,SVM,0.88,0.8545454545454545,0.8000000000000002,0.9090909090909092,0.8489594987692998,0.8736363636363635,0.7564220485314573
between_class,right,SqueezeNet,0.6844444444444444,0.7159090909090908,0.7833333333333333,0.6484848484848484,0.655947603281552,0.8118181818181819,0.6017709181306014
within_class,left,MLP,0.7657657657657658,0.7548076923076922,0.717948717948718,0.7916666666666666,0.7488353838953539,0.8493589743589743,0.8277701941668463
within_class,left,MobileNet,0.6711711711711712,0.6172542735042735,0.4358974358974359,0.7986111111111112,0.6217205107230386,0.6549145299145299,0.5554952357296704
within_class,left,ResNet,0.7072072072072072,0.6655982905982906,0.5256410256410257,0.8055555555555557,0.6693818509076266,0.6842948717948718,0.615786290142076
within_class,left,ResNetAE,0.6801801801801801,0.6212606837606837,0.4230769230769231,0.8194444444444443,0.6254581024653677,0.6306089743589743,0.5413014122534214
within_class,left,SVM,0.8513513513513513,0.8325320512820514,0.7692307692307693,0.8958333333333334,0.835455831817263,0.889423076923077,0.8759539223586681
within_class,left,SqueezeNet,0.563063063063063,0.5897435897435898,0.6794871794871794,0.5,0.5571657951632005,0.6354166666666666,0.5006690178590526
within_class,right,MLP,0.8755555555555556,0.8303030303030302,0.7333333333333334,0.9272727272727272,0.8373092945461366,0.9254545454545454,0.823149808121567
within_class,right,MobileNet,0.7511111111111112,0.6393939393939394,0.4000000000000001,0.8787878787878788,0.6530049615098,0.7581818181818182,0.5355660021800254
within_class,right,ResNet,0.7644444444444445,0.6696969696969696,0.4666666666666666,0.8727272727272727,0.6743494531105151,0.7842424242424242,0.5236126621219761
within_class,right,ResNetAE,0.7600000000000001,0.6772727272727272,0.5,0.8545454545454545,0.6836582157378618,0.7778787878787878,0.5669566413486876
within_class,right,SVM,0.8533333333333334,0.8363636363636364,0.8000000000000002,0.8727272727272727,0.8206911540969356,0.8963636363636364,0.7519946955424142
within_class,right,SqueezeNet,0.5288888888888889,0.6363636363636364,0.8666666666666667,0.406060606060606,0.5049274427222982,0.7599999999999999,0.5755048410358632
