Protocol,Side,Model,Seed,TestAccuracy,TestBalancedAccuracy,TestSensitivity,TestSpecificity,TestF1Macro,TestROCAUC,TestPRAUC,RunDir
within_class,left,SVM,123,0.8513513513513513,0.8325320512820513,0.7692307692307693,0.8958333333333334,0.8354558318172629,0.889423076923077,0.8759539223586681,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_pairwise_train_only_20260924\final\within_class\left\SVM\seed_123
within_class,left,SVM,2026,0.8513513513513513,0.8325320512820513,0.7692307692307693,0.8958333333333334,0.8354558318172629,0.889423076923077,0.8759539223586681,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_pairwise_train_only_20260924\final\within_class\left\SVM\seed_2026
within_class,left,MLP,42,0.8108108108108109,0.7836538461538461,0.6923076923076923,0.875,0.7885714285714285,0.8669871794871795,0.8416152300000026,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_pairwise_train_only_20260924\final\within_class\left\MLP\seed_42
within_class,left,MLP,123,0.7567567567567568,0.750801282051282,0.7307692307692307,0.7708333333333334,0.7414596273291926,0.845352564102564,0.8386158506197324,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_pairwise_train_only_20260924\final\within_class\left\MLP\seed_123
within_class,left,MLP,2026,0.7297297297297297,0.7299679487179487,0.7307692307692307,0.7291666666666666,0.7164750957854404,0.8357371794871795,0.803079501880804,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_pairwise_train_only_20260924\final\within_class\left\MLP\seed_2026
within_class,left,ResNet,42,0.6756756756756757,0.6354166666666667,0.5,0.7708333333333334,0.6375510204081634,0.6674679487179487,0.5844567516492499,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_pairwise_train_only_20260924\final\within_class\left\ResNet\seed_42
within_class,left,ResNet,123,0.7162162162162162,0.6666666666666667,0.5,0.8333333333333334,0.6726353486412472,0.624198717948718,0.5868307638608112,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_pairwise_train_only_20260924\final\within_class\left\ResNet\seed_123
within_class,left,ResNet,2026,0.7297297297297297,0.6947115384615384,0.5769230769230769,0.8125,0.6979591836734693,0.7612179487179487,0.6760713549161668,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_pairwise_train_only_20260924\final\within_class\left\ResNet\seed_2026
within_class,left,ResNetAE,42,0.6621621621621622,0.6073717948717948,0.4230769230769231,0.7916666666666666,0.6102801769538656,0.6338141025641025,0.5442877886267106,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_pairwise_train_only_20260924\final\within_class\left\ResNetAE\seed_42
within_class,left,ResNetAE,123,0.6621621621621622,0.6073717948717948,0.4230769230769231,0.7916666666666666,0.6102801769538656,0.6097756410256411,0.5440253929509543,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_pairwise_train_only_20260924\final\within_class\left\ResNetAE\seed_123
within_class,left,ResNetAE,2026,0.7162162162162162,0.6490384615384616,0.4230769230769231,0.875,0.655813953488372,0.6482371794871795,0.5355910551825994,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_pairwise_train_only_20260924\final\within_class\left\ResNetAE\seed_2026
within_class,left,MobileNet,42,0.6351351351351351,0.577724358974359,0.38461538461538464,0.7708333333333334,0.5791025911101748,0.5841346153846154,0.4412230644117862,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_pairwise_train_only_20260924\final\within_class\left\MobileNet\seed_42
within_class,left,MobileNet,123,0.7567567567567568,0.6979166666666667,0.5,0.8958333333333334,0.7089160839160839,0.7251602564102564,0.634175256087515,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_pairwise_train_only_20260924\final\within_class\left\MobileNet\seed_123
within_class,left,MobileNet,2026,0.6216216216216216,0.5761217948717948,0.4230769230769231,0.7291666666666666,0.5771428571428571,0.655448717948718,0.59108738668971,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_pairwise_train_only_20260924\final\within_class\left\MobileNet\seed_2026
