number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_lr,params_mlp_depth,params_mlp_width,params_pls_components,params_weight_decay,state
0,0.5216450216450216,2026-09-22 09:08:09.360497,2026-09-22 09:08:13.137456,0 days 00:00:03.776959,gelu,8,0.16239780813448107,0.0003574712922600243,1,64,8,0.006351221010640704,COMPLETE
1,0.579004329004329,2026-09-22 09:08:13.137456,2026-09-22 09:08:14.903442,0 days 00:00:01.765986,gelu,32,0.41407038455720546,0.0008012737503998541,3,128,24,3.6138942712165278e-06,COMPLETE
2,0.6244588744588744,2026-09-22 09:08:14.903442,2026-09-22 09:08:17.849880,0 days 00:00:02.946438,gelu,16,0.36500891374159283,0.00015144860262751404,3,256,6,9.565499215943819e-05,COMPLETE
3,0.6006493506493507,2026-09-22 09:08:17.849880,2026-09-22 09:08:24.125447,0 days 00:00:06.275567,gelu,8,0.31707843326329943,0.00037507963596256056,3,32,4,1.2172958098369984e-05,COMPLETE
4,0.5909090909090909,2026-09-22 09:08:24.126448,2026-09-22 09:08:25.836240,0 days 00:00:01.709792,relu,8,0.23007332881069884,0.0018832519048593583,2,32,2,0.0003113095956122125,PRUNED
5,0.4880952380952381,2026-09-22 09:08:25.836240,2026-09-22 09:08:26.813748,0 days 00:00:00.977508,gelu,32,0.19971689165954998,0.00011128194768838959,3,128,12,0.00035127047262708476,PRUNED
6,0.5335497835497836,2026-09-22 09:08:26.813748,2026-09-22 09:08:28.599911,0 days 00:00:01.786163,gelu,8,0.27084311545050255,0.001558428978238547,1,256,24,0.003840300419098858,PRUNED
7,0.5909090909090909,2026-09-22 09:08:28.599911,2026-09-22 09:08:30.126199,0 days 00:00:01.526288,relu,8,0.11475477894181313,0.0026402883285404338,1,64,24,1.0165510266418738e-05,PRUNED
8,0.5909090909090909,2026-09-22 09:08:30.127200,2026-09-22 09:08:31.884924,0 days 00:00:01.757724,relu,8,0.43412099823569517,0.0003493496258511927,1,128,6,0.00033823872019362184,PRUNED
9,0.4880952380952381,2026-09-22 09:08:31.884924,2026-09-22 09:08:33.871769,0 days 00:00:01.986845,relu,8,0.3639936184136716,0.0003190041672417553,2,64,12,2.843767489444368e-06,PRUNED
