feature,mean,scale
Coef_1,0,1
Coef_2,0,1
Coef_3,0,1
Coef_4,0,1
Coef_5,0,1
Coef_6,0.29424727118644067,0.024397782894291162
Coef_7,1.966561152542373,0.11566325191634924
Coef_8,-3.7627118644067792e-07,5.9156184628772159e-07
Coef_9,-1.4135593220338984e-06,7.0240690971820549e-07
Coef_10,-1.0508474576271187e-07,3.0666258651928517e-07
Coef_11,0.91659160338983048,0.067321701934300773
Coef_12,1.016949152542373e-08,1.0032982092846603e-07
Coef_13,-0.036481372881355931,0.01332623288219334
Coef_14,-0.11508590508474578,0.014324789036733607
Coef_15,-0.022782135593220339,0.01471813985651216
Coef_16,-0.092164372881355941,0.026103002045091372
Coef_17,-0.089257549152542373,0.026132411183843757
Coef_18,-0.078126020338983054,0.017609453118860592
Coef_19,-0.00376355593220339,0.012661390517636361
Coef_20,0.008527433898305084,0.015864526481308511
Coef_21,-0.020443169491525425,0.01849813906018432
Coef_22,0.082168698305084747,0.03290542627479439
Coef_23,0.29461286101694911,0.036180875648926143
Coef_24,0.063099518644067792,0.029573513724944538
Coef_25,0.012348216949152542,0.027002351637960196
Coef_26,-0.039579437288135594,0.030563164072302362
Coef_27,0.0002869491525423725,0.025612583756667927
Coef_28,-0.02325413559322034,0.0055152295951029296
Coef_29,0.0030837762711864408,0.0051191366675575152
Coef_30,-0.043485894915254238,0.010659287328824976
Coef_31,0.0037856779661016946,0.012951583379466667
Coef_32,-0.027383616949152544,0.015260949184745153
Coef_33,-0.041540759322033896,0.016199359970607737
Coef_34,-0.0019020915254237291,0.0060043481076968511
Coef_35,-0.080341400000000007,0.010911732652237147
Coef_36,-0.0056988542372881359,0.0095326523060962794
Coef_37,0.052899461016949152,0.010645921394759382
Coef_38,0.031133064406779657,0.015801884781572389
Coef_39,0.008210586440677967,0.013951485094820644
Coef_40,-0.008314454237288136,0.013138547832345134
Coef_41,-0.044183115254237293,0.014400395385353593
Coef_42,-0.036313813559322033,0.013452421718688544
Coef_43,-0.037630620338983047,0.017034855983081635
Coef_44,0.033449800000000002,0.029889513050634794
Coef_45,0.078237298305084732,0.01934939994092132
Coef_46,0.023179149152542374,0.020073666909275277
Coef_47,0.17096786440677966,0.017500718974342244
Coef_48,0.056727016949152539,0.016381886608609515
Coef_49,-0.0090333152542372876,0.0044018898844532736
Coef_50,-0.002225691525423729,0.0045498721013608441
Coef_51,0.0065288779661016958,0.0062536741313439044
Coef_52,0.012593254237288135,0.0073256417445341747
Coef_53,0.0029780915254237284,0.0061217293952144976
Coef_54,-0.038920305084745768,0.0087347679286824929
Coef_55,-0.003599050847457627,0.0036234306659069489
Coef_56,0.0025440406779661017,0.0066934879462415475
Coef_57,-0.010188505084745763,0.0065776962928642867
Coef_58,0.021191647457627118,0.0079921860795373854
Coef_59,0.01346964745762712,0.0068785467585538865
Coef_60,-0.026976772881355936,0.011264071005016092
Coef_61,0.015322549152542371,0.008067081500500636
Coef_62,-0.016644294915254237,0.0067430885679382038
Coef_63,-0.016028613559322034,0.010297553510988934
Coef_64,-0.0063754406779661004,0.0084248389997616351
Coef_65,0.013127061016949153,0.0097100515666388408
Coef_66,0.040027833898305082,0.0079564334776503105
Coef_67,0.0029569288135593221,0.0088613682991914716
Coef_68,0.00056889491525423744,0.0090295129623977916
Coef_69,0.0015346677966101697,0.0089239663093066933
Coef_70,-0.027418654237288134,0.013554299583118367
Coef_71,-0.074480393220338989,0.012648103657738705
Coef_72,0.0015695898305084748,0.011745748490897547
Coef_73,-0.022358257627118645,0.01321746320161969
Coef_74,0.013424305084745765,0.021749229469035309
Coef_75,0.0048720677966101692,0.010793270313635263
Coef_76,-0.00065328813559322038,0.0025592565250567747
Coef_77,-0.00097683050847457639,0.003471761679279455
Coef_78,0.014174081355932202,0.0039991633633724606
Coef_79,0.0087615864406779646,0.0055528449124920666
Coef_80,-0.0013281457627118643,0.0043194000818272005
Coef_81,-0.011838749152542372,0.0079625213061338095
Coef_82,-0.0071380338983050859,0.0033951168291528151
Coef_83,0.0075977288135593204,0.0045232029375867613
Coef_84,0.0074883288135593222,0.004578154927406812
Coef_85,0.0034571525423728812,0.0046102781555613405
Coef_86,-0.0077489389830508477,0.005887462683001444
Coef_87,-0.013265806779661018,0.007319340311569356
Coef_88,-0.0056783322033898305,0.0048958246387131492
Coef_89,0.0060632949152542364,0.0057687701128334027
Coef_90,-0.0070400881355932206,0.0059362078820869102
Coef_91,-0.0072321220338983049,0.0061585458341955526
Coef_92,0.0072442169491525425,0.0073490498226169319
Coef_93,0.019149101694915256,0.0065050928353435362
Coef_94,0.011376481355932203,0.0059973091954013524
Coef_95,-0.011935423728813559,0.004927614465312701
Coef_96,0.0076982779661016951,0.008028383178344695
Coef_97,-0.0037411898305084743,0.0076839643081802571
Coef_98,-0.0031499254237288138,0.0071137112968391791
Coef_99,-0.005370484745762712,0.0058301204207935314
Coef_100,0.0094323050847457644,0.0072051278054843671
Coef_101,0.0091465627118644064,0.0069856141087649339
Coef_102,0.0065060237288135587,0.0072035139515575584
Coef_103,0.0081225389830508476,0.0087179035322509091
Coef_104,-0.0069364508474576278,0.01136633722184963
Coef_105,0.0019671525423728808,0.0072442569351750998
Coef_106,-0.012377633898305086,0.0095177196304721354
Coef_107,-0.015117216949152542,0.0098944696256682719
Coef_108,0.0024606881355932202,0.0075922036329668817
Coef_109,0.00048432542372881356,0.0023473164011951469
Coef_110,-0.0019205728813559322,0.0021580445104527122
