epoch,train_loss
1,0.6785043711845692
2,0.3736479014158249
3,0.15587388950471695
4,0.06694722291297064
5,0.02671616561173533
6,0.009023748961939977
7,0.002354913306324026
8,0.0014215961965069605
9,0.0010138582939711901
10,0.0007353868866070675
11,0.0006154500565921458
12,0.00043881492047848254
13,0.00046493765859430334
14,0.00034036006741539147
15,0.0002819453614602725
16,0.00022913166705201056
17,0.00020763827465438786
18,0.00016485416775909612
19,0.00015700602676728382
20,0.00014021924522379637
