number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_lr,params_mlp_depth,params_mlp_width,params_pls_components,params_weight_decay,state
0,0.8633378116136736,2026-09-22 09:13:46.101732,2026-09-22 09:13:58.959852,0 days 00:00:12.858120,gelu,8,0.16239780813448107,0.0003574712922600243,1,64,8,0.006351221010640704,COMPLETE
1,0.8633378116136736,2026-09-22 09:13:58.959852,2026-09-22 09:14:03.028319,0 days 00:00:04.068467,gelu,32,0.41407038455720546,0.0008012737503998541,3,128,24,3.6138942712165278e-06,COMPLETE
2,0.8648305717271234,2026-09-22 09:14:03.028319,2026-09-22 09:14:11.417026,0 days 00:00:08.388707,gelu,16,0.36500891374159283,0.00015144860262751404,3,256,6,9.565499215943819e-05,COMPLETE
3,0.8885654575309747,2026-09-22 09:14:11.417026,2026-09-22 09:14:32.373645,0 days 00:00:20.956619,gelu,8,0.31707843326329943,0.00037507963596256056,3,32,4,1.2172958098369984e-05,COMPLETE
4,0.8935662039110315,2026-09-22 09:14:32.373645,2026-09-22 09:14:43.987297,0 days 00:00:11.613652,relu,8,0.23007332881069884,0.0018832519048593583,2,32,2,0.0003113095956122125,COMPLETE
5,0.6241976414390207,2026-09-22 09:14:43.988311,2026-09-22 09:14:47.152074,0 days 00:00:03.163763,gelu,32,0.19971689165954998,0.00011128194768838959,3,128,12,0.00035127047262708476,PRUNED
6,0.6446857739961188,2026-09-22 09:14:47.152074,2026-09-22 09:14:52.852071,0 days 00:00:05.699997,gelu,8,0.27084311545050255,0.001558428978238547,1,256,24,0.003840300419098858,PRUNED
7,0.635691894312584,2026-09-22 09:14:52.852071,2026-09-22 09:14:57.033096,0 days 00:00:04.181025,relu,8,0.11475477894181313,0.0026402883285404338,1,64,24,1.0165510266418738e-05,PRUNED
8,0.8870726974175249,2026-09-22 09:14:57.033096,2026-09-22 09:15:11.870934,0 days 00:00:14.837838,relu,8,0.43412099823569517,0.0003493496258511927,1,128,6,0.00033823872019362184,COMPLETE
9,0.6471861471861472,2026-09-22 09:15:11.871934,2026-09-22 09:15:18.723840,0 days 00:00:06.851906,relu,8,0.3639936184136716,0.0003190041672417553,2,64,12,2.843767489444368e-06,PRUNED
