number,value,datetime_start,datetime_complete,duration,params_C,params_activation,params_batch_size,params_dropout,params_gamma,params_gamma_mode,params_kernel,params_lr,params_pls_components,params_weight_decay,state
0,0.4968203497615262,2026-09-22 09:03:18.535506,2026-09-22 09:03:18.702353,0 days 00:00:00.166847,1.40779231399724,gelu,8,0.16239780813448107,4.982752357076453e-06,numeric,rbf,0.0003574712922600243,8,0.006351221010640704,COMPLETE
1,0.5,2026-09-22 09:03:18.702353,2026-09-22 09:03:18.904623,0 days 00:00:00.202270,0.4374364439939078,relu,16,0.3056937753654446,,auto,rbf,0.00027010527749605503,12,2.9204338471814107e-05,COMPLETE
2,0.5,2026-09-22 09:03:18.904623,2026-09-22 09:03:19.043526,0 days 00:00:00.138903,0.21481457181982683,gelu,8,0.31868411173731187,,auto,rbf,0.0022038218939289885,4,1.0842262717330169e-05,COMPLETE
3,0.4864864864864865,2026-09-22 09:03:19.043526,2026-09-22 09:03:19.175970,0 days 00:00:00.132444,5.492736444508448,relu,16,0.4947547746402069,,scale,rbf,0.00026000059117302663,4,0.00014817820606039095,COMPLETE
4,0.431637519872814,2026-09-22 09:03:19.175970,2026-09-22 09:03:19.310257,0 days 00:00:00.134287,0.0769371131264886,gelu,16,0.14783769837532068,,auto,rbf,0.0003022283475646735,4,0.000828752236376816,COMPLETE
5,0.48887122416534184,2026-09-22 09:03:19.310257,2026-09-22 09:03:19.389862,0 days 00:00:00.079605,0.004574162058025036,relu,32,0.16448851490160177,0.020121155449063854,numeric,linear,0.0004038176882071838,12,0.001052457468133564,PRUNED
6,0.48887122416534184,2026-09-22 09:03:19.389862,2026-09-22 09:03:19.452569,0 days 00:00:00.062707,0.0016646452049870533,relu,8,0.2350460685614512,,scale,linear,0.00010239273411172726,8,0.00011040511903162256,PRUNED
7,0.4753577106518283,2026-09-22 09:03:19.452569,2026-09-22 09:03:19.576740,0 days 00:00:00.124171,0.08407761618357402,gelu,32,0.49426018164424035,0.0024424282201158257,numeric,rbf,0.00025798509464504095,2,0.004295992790539129,COMPLETE
8,0.5095389507154213,2026-09-22 09:03:19.577741,2026-09-22 09:03:19.753235,0 days 00:00:00.175494,1.506272232520005,gelu,16,0.37637509524098645,0.031775345821188294,numeric,linear,0.00010580403601696646,8,0.0001117820920069873,COMPLETE
9,0.4864864864864865,2026-09-22 09:03:19.753235,2026-09-22 09:03:19.905834,0 days 00:00:00.152599,1.960662020009781,relu,32,0.45483456970604697,,scale,rbf,0.0008613261227615091,6,2.270487755790923e-05,COMPLETE
