number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.5,2026-09-22 01:33:58.959631,2026-09-22 01:33:59.135940,0 days 00:00:00.176309,2.481040974867813,,auto,COMPLETE
1,0.5,2026-09-22 01:33:59.135940,2026-09-22 01:33:59.300538,0 days 00:00:00.164598,29.154431891537552,,scale,COMPLETE
2,0.5,2026-09-22 01:33:59.300538,2026-09-22 01:33:59.467639,0 days 00:00:00.167101,75.7947995334801,,auto,COMPLETE
3,0.5021645021645021,2026-09-22 01:33:59.467639,2026-09-22 01:33:59.652753,0 days 00:00:00.185114,0.05415244119402541,,scale,COMPLETE
4,0.5,2026-09-22 01:33:59.654272,2026-09-22 01:33:59.836311,0 days 00:00:00.182039,0.14618962793704965,,auto,COMPLETE
5,0.5,2026-09-22 01:33:59.836311,2026-09-22 01:34:00.025987,0 days 00:00:00.189676,0.2920433847181412,,scale,COMPLETE
6,0.5,2026-09-22 01:34:00.025987,2026-09-22 01:34:00.204310,0 days 00:00:00.178323,1.1400863701127328,,auto,COMPLETE
7,0.48593073593073594,2026-09-22 01:34:00.204310,2026-09-22 01:34:00.274377,0 days 00:00:00.070067,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.5,2026-09-22 01:34:00.274377,2026-09-22 01:34:00.442861,0 days 00:00:00.168484,0.1653693718282443,,auto,COMPLETE
9,0.46645021645021645,2026-09-22 01:34:00.442861,2026-09-22 01:34:00.612652,0 days 00:00:00.169791,0.030771802712506867,,auto,COMPLETE
